input,elevation
"41.850984, -70.654984",40
"41.959100, -70.802753",29
"42.176446, -71.051567",57
"42.130399, -70.910615",41
"42.003041, -71.076928",23
"42.021617, -71.026717",28
"42.078974, -70.939390",31
"42.457055, -71.215464",60
"42.438547, -71.239573",97
"42.325483, -71.135045",54
"42.343503, -71.122248",20
"42.397823, -71.255708",61
"42.392721, -71.213532",59
"42.369542, -71.240513",21
"42.299388, -71.274242",68
"42.353585, -71.188192",21
"42.314779, -71.192017",39
"42.351824, -71.208490",22
"42.317362, -71.206508",38
"42.328708, -71.255900",37
"42.312975, -71.218882",58
"42.348912, -71.226330",20
"42.344457, -71.248617",35
"42.314344, -71.152759",66
"42.328553, -71.229530",44
"42.369451, -71.177925",14
"42.420949, -71.156370",23
"42.415637, -71.175670",104
"42.395317, -71.180284",44
"42.311927, -71.275531",48
"42.293103, -71.298537",80
"42.276029, -71.244543",55
"42.360502, -71.303433",72
"42.299490, -71.232519",51
"41.751759, -70.597552",8
"41.668942, -70.619407",15
"41.337159, -70.761031",9
"41.596305, -70.567467",15
"41.728418, -70.435812",21
"41.777476, -70.642148",16
"41.377655, -70.522080",8
"41.573881, -70.632049",11
"41.707839, -70.545520",55
"41.478974, -70.766911",5
"41.711561, -70.622853",4
"41.291167, -70.092826",0
"41.639445, -70.624515",7
"41.441713, -70.576143",13
"41.745017, -70.653513",4
"41.690243, -70.616283",8
"41.766737, -70.540595",51
"41.787209, -70.526717",11
"41.728137, -70.476549",60
"41.271979, -69.984406",9
"41.458608, -70.613479",21
"41.761187, -70.695991",3
"41.400252, -70.656934",13
"41.772221, -70.762948",22
"41.258688, -70.007142",13
"41.657961, -70.298093",18
"41.706769, -70.312530",13
"41.747513, -70.066223",21
"41.659097, -70.346877",22
"41.689734, -69.972126",20
"41.624054, -70.439397",16
"41.705726, -70.270928",5
"41.730228, -70.197398",-1
"41.668067, -70.136979",6
"41.751246, -70.153472",-1
"41.841331, -69.977436",4
"41.797777, -69.937327",2
"41.683488, -70.510786",48
"41.711052, -70.057609",27
"41.670596, -70.071449",9
"41.630127, -70.310144",4
"41.670946, -70.415370",10
"41.616801, -70.490097",11
"41.701947, -69.961375",22
"41.874985, -70.003492",3
"42.049537, -70.094991",20
"41.769125, -69.973580",11
"41.627984, -70.392013",0
"42.059829, -70.200407",5
"41.681465, -70.023537",18
"41.707699, -70.158560",20
"41.894444, -70.012180",4
"41.674727, -70.195648",12
"41.990780, -70.045714",18
"41.921997, -70.023356",5
"41.716216, -70.363070",-1
"41.666693, -69.989716",-4
"41.660113, -70.170678",6
"41.670839, -70.113400",8
"41.635700, -70.313634",-2
"41.655712, -70.247044",4
"41.704155, -70.231801",17
"41.785113, -71.059047",60
"41.931653, -71.294503",50
"41.441295, -70.902217",0
"41.803649, -71.153380",39
"41.760108, -70.972874",39
"41.862486, -71.011690",18
"41.633619, -70.871306",12
"41.725050, -71.121329",61
"41.675125, -71.148281",56
